CIDADE,NUM VEREADORES,% BRANCA,% PRETA,% PARDA,% INDIGENA,% AMARELA,% NAO INFORM
Recife,39,75,10,15,0,0,0
Jaboatão dos Guararapes,27,30,19,48,0,4,0
Olinda,17,29,18,53,0,0,0
Caruaru,23,57,0,39,0,0,4
Petrolina,23,39,13,48,0,0,0
Paulista,15,20,27,47,0,0,7
Cabo de Santo Agostinho,21,43,5,52,0,0,0
Camaragibe,13,15,8,77,0,0,0
Garanhuns,17,41,6,53,0,0,0
Vitória de Santo Antão,19,57,11,32,0,0,0
Igarassu,15,33,27,40,0,0,0
São Lourenço da Mata,15,53,0,47,0,0,0
Santa Cruz do Capibaribe,17,29,29,41,0,0,0
Abreu e Lima,11,55,9,36,0,0,0
Ipojuca,13,23,15,62,0,0,0
Serra Talhada,17,12,0,88,0,0,0
Gravatá,15,47,7,47,0,0,0
Araripina,15,13,0,87,0,0,0
Carpina,17,,,,,,
Goiana,15,33,13,54,0,0,0
Belo Jardim,15,67,13,20,0,0,0
Arcoverde,10,60,0,40,0,0,0
Ouricuri,15,7,0,93,0,0,0
Escada,13,62,23,15,0,0,0
Pesqueira,15,33,0,60,7,0,0
Surubim,13,62,0,38,0,0,0
Moreno,11,9,0,91,0,0,0
Palmares,15,47,7,47,0,0,0
Salgueiro,15,54,0,33,0,0,13
Bezerros,15,73,0,27,0,0,0
São Bento do Una,15,60,7,33,0,0,0
Buíque,15,40,0,53,7,0,0
Paudalho,13,15,15,70,0,0,0
Limoeiro,15,66,7,27,0,0,0
Timbauba,13,54,0,46,0,0,0
Brejo da Madre de Deus,13,62,0,38,0,0,0
Bom Conselho,13,61,8,31,0,0,0
Ribeirão,13,38,0,62,0,0,0
Toritama,13,46,0,54,0,0,0
Sirinhaém,11,18,0,82,0,0,0
Águas Belas,13,38,0,54,8,0,0
Catende,13,23,23,54,0,0,0
Barreiros,13,38,8,54,0,0,0
Santa Maria da Boa Vista,13,23,15,62,0,0,0
Lajedo,13,38,0,62,0,0,0
Bom Jardim,13,38,0,63,0,0,0
Bodocó,13,8,8,46,0,0,38
Aliança,11,45,0,55,0,0,0
Bonito,13,92,0,8,0,0,0
Afogados da Ingazeira,13,38,8,54,0,0,0
São Caetano,13,23,8,69,0,0,0
Petrolândia,11,9,18,73,0,0,0
Custódia,11,45,18,36,0,0,0
Água Preta,13,15,23,62,0,0,0
Itambé,13,0,0,100,0,0,0
Sertânia,13,54,8,38,0,0,0
Cabrobó,13,38,0,62,0,0,0
São José do Egito,13,53,8,31,0,8,0
São José do Belmonte,13,46,0,54,0,0,0
